,pubmed_id,ref_type,review_doi,pmc
0,21765358,included,10.1002/14651858.CD010438.pub2,
1,17109736,included,10.1002/14651858.CD010438.pub2,
2,22487164,included,10.1002/14651858.CD010438.pub2,
3,12513067,additional,10.1002/14651858.CD010438.pub2,
4,12813333,additional,10.1002/14651858.CD010438.pub2,
5,15341698,additional,10.1002/14651858.CD010438.pub2,
6,20553376,additional,10.1002/14651858.CD010438.pub2,
7,18420846,additional,10.1002/14651858.CD010438.pub2,
8,18954393,additional,10.1002/14651858.CD010438.pub2,
9,12855879,additional,10.1002/14651858.CD010438.pub2,
10,17214989,additional,10.1002/14651858.CD010438.pub2,
11,19695750,additional,10.1002/14651858.CD010438.pub2,
12,17107347,additional,10.1002/14651858.CD010438.pub2,
13,21893014,excluded,10.1002/14651858.CD010438.pub2,
14,21412912,excluded,10.1002/14651858.CD010438.pub2,
15,603216,excluded,10.1002/14651858.CD010438.pub2,
16,23192059,excluded,10.1002/14651858.CD010438.pub2,
17,19524872,excluded,10.1002/14651858.CD010438.pub2,
18,20573070,excluded,10.1002/14651858.CD010438.pub2,
19,22695409,excluded,10.1002/14651858.CD010438.pub2,
20,22846941,excluded,10.1002/14651858.CD010438.pub2,
21,5522910,excluded,10.1002/14651858.CD010438.pub2,
22,21112053,excluded,10.1002/14651858.CD010438.pub2,
23,21939390,excluded,10.1002/14651858.CD010438.pub2,
24,19895953,excluded,10.1002/14651858.CD010438.pub2,
25,23301972,excluded,10.1002/14651858.CD010438.pub2,
26,23260867,excluded,10.1002/14651858.CD010438.pub2,
27,19359945,excluded,10.1002/14651858.CD010438.pub2,
28,22547997,excluded,10.1002/14651858.CD010438.pub2,3322428.0
29,21790635,excluded,10.1002/14651858.CD010438.pub2,
30,22743373,excluded,10.1002/14651858.CD010438.pub2,
31,18376164,excluded,10.1002/14651858.CD010438.pub2,
32,19667878,excluded,10.1002/14651858.CD010438.pub2,
33,21899867,excluded,10.1002/14651858.CD010438.pub2,
34,18376174,excluded,10.1002/14651858.CD010438.pub2,
35,23176206,excluded,10.1002/14651858.CD010438.pub2,
36,22519961,excluded,10.1002/14651858.CD010438.pub2,
37,21330940,excluded,10.1002/14651858.CD010438.pub2,
38,22078266,excluded,10.1002/14651858.CD010438.pub2,3388656.0
39,15761339,excluded,10.1002/14651858.CD010438.pub2,
40,20551273,excluded,10.1002/14651858.CD010438.pub2,
41,21655681,excluded,10.1002/14651858.CD010438.pub2,
42,22863406,excluded,10.1002/14651858.CD010438.pub2,
43,23354228,excluded,10.1002/14651858.CD010438.pub2,
44,21918164,excluded,10.1002/14651858.CD010438.pub2,
45,23351534,excluded,10.1002/14651858.CD010438.pub2,
46,20466110,excluded,10.1002/14651858.CD010438.pub2,
47,21467918,excluded,10.1002/14651858.CD010438.pub2,
48,19937983,excluded,10.1002/14651858.CD010438.pub2,
49,22014176,included,10.1002/14651858.CD010775.pub2,
50,18474719,included,10.1002/14651858.CD010775.pub2,
51,22228824,included,10.1002/14651858.CD010775.pub2,
52,17542384,included,10.1002/14651858.CD010775.pub2,
53,23740535,additional,10.1002/14651858.CD010775.pub2,
54,24022476,additional,10.1002/14651858.CD010775.pub2,
55,12779304,additional,10.1002/14651858.CD010775.pub2,
56,23084456,additional,10.1002/14651858.CD010775.pub2,
57,1202204,additional,10.1002/14651858.CD010775.pub2,
58,22115097,additional,10.1002/14651858.CD010775.pub2,
59,20202364,additional,10.1002/14651858.CD010775.pub2,
60,19480115,additional,10.1002/14651858.CD010775.pub2,
61,19582756,additional,10.1002/14651858.CD010775.pub2,
